player_name,player_id,team,season,strength,gp_r,points_r,gp_p,points_p,gp_r_career,gp_p_career,points_r_career,points_p_career,ppg_r_career,career_ppg_diff,fail,under_perform,career_games,career_playoff_games,delta_p_ppg,delta_diff_ppg
Matt Nieto,8476442,Colorado Avalanche,2019,all,61,23,12,7,130,18,49,10,0.3769230769230769,0.17863247863247866,no,0,410,37,0.05555555555555558,0.05544407283537722
Matt Nieto,8476442,Colorado Avalanche,2020,all,69,21,12,3,199,30,70,13,0.35175879396984927,0.08157453936348408,yes,1,410,37,-0.12222222222222223,-0.09705793926899459
Matt Nieto,8476442,Colorado Avalanche,2023,all,79,24,7,0,373,37,118,13,0.3163538873994638,0.034997463951887575,yes,1,410,37,-0.08198198198198198,-0.0465770754115965
Matt Niskanen,8471702,Washington Capitals,2018,all,68,29,24,9,68,24,29,9,0.4264705882352941,-0.0514705882352941,yes,0,262,43,NA,NA
Matt Niskanen,8471702,Washington Capitals,2019,all,80,25,7,2,148,31,54,11,0.36486486486486486,-0.010026155187445485,yes,0,262,43,-0.020161290322580627,0.04144443304784862
Matt Niskanen,8471702,Philadelphia Flyers,2020,all,71,33,12,2,219,43,87,13,0.3972602739726027,-0.0949346925772539,yes,1,262,43,-0.052513128282070554,-0.08490853738980841
Matt Read,8476177,Philadelphia Flyers,2018,all,18,1,6,2,18,6,1,2,0.05555555555555555,0.2777777777777778,no,0,24,6,NA,NA
Matt Roy,8478911,Los Angeles Kings,2022,all,67,21,7,1,206,7,55,1,0.2669902912621359,-0.12413314840499307,yes,1,299,13,NA,NA
Matt Roy,8478911,Los Angeles Kings,2023,all,80,26,6,3,286,13,81,4,0.28321678321678323,0.02447552447552448,no,0,299,13,0.16483516483516486,0.14860867288051754
Matthew Highmore,8478146,Chicago Blackhawks,2020,all,35,6,9,4,48,9,8,4,0.16666666666666666,0.2777777777777778,no,0,57,9,NA,NA
Matthew Knies,8482720,Toronto Maple Leafs,2023,all,3,1,7,4,3,7,1,4,0.3333333333333333,0.23809523809523808,no,0,10,7,NA,NA
Matthew Tkachuk,8479314,Calgary Flames,2019,all,80,77,5,3,148,5,126,3,0.8513513513513513,-0.25135135135135134,yes,1,475,42,NA,NA
Matthew Tkachuk,8479314,Calgary Flames,2020,all,69,61,5,2,217,10,187,5,0.8617511520737328,-0.36175115207373276,yes,1,475,42,-0.09999999999999998,-0.11039980072238142
Matthew Tkachuk,8479314,Calgary Flames,2022,all,82,104,12,10,355,22,334,15,0.9408450704225352,-0.2590268886043534,yes,1,475,42,0.18181818181818177,0.10272426346937935
Matthew Tkachuk,8479314,Florida Panthers,2023,all,78,107,20,24,433,42,441,39,1.0184757505773672,-0.08990432200593856,no,0,475,42,0.24675324675324684,0.16912256659841485
Mattias Ekholm,8475218,Nashville Predators,2018,all,81,34,13,8,81,13,34,8,0.41975308641975306,0.19563152896486236,no,0,474,44,NA,NA
Mattias Ekholm,8475218,Nashville Predators,2019,all,80,44,6,2,161,19,78,10,0.484472049689441,0.04184373978424316,yes,1,474,44,-0.08906882591093124,-0.1537877891806192
Mattias Ekholm,8475218,Nashville Predators,2020,all,68,33,4,1,229,23,111,11,0.4847161572052402,-0.006455287640022789,yes,1,474,44,-0.048054919908466776,-0.04829902742426595
Mattias Ekholm,8475218,Nashville Predators,2021,all,48,23,6,3,277,29,134,14,0.48375451263537905,-9.95891945723859e-4,no,0,474,44,0.004497751124437788,0.00545939569429893
Mattias Ekholm,8475218,Nashville Predators,2022,all,76,31,4,2,353,33,165,16,0.46742209631728043,0.01742638853120443,no,0,474,44,0.0020898641588296685,0.018422280476928288
Mattias Ekholm,8475218,Edmonton Oilers,2023,all,77,32,11,5,430,44,197,21,0.45813953488372094,0.019133192389006348,yes,0,474,44,-0.007575757575757569,0.0017068038578019196
Mattias Janmark,8477406,Dallas Stars,2019,all,79,25,6,3,158,6,59,3,0.37341772151898733,0.12658227848101267,no,0,450,48,NA,NA
Mattias Janmark,8477406,Dallas Stars,2020,all,63,22,23,7,221,29,81,10,0.3665158371040724,-0.021688250897175798,yes,0,450,48,-0.15517241379310343,-0.14827052937818846
Mattias Janmark,8477406,Vegas Golden Knights,2021,all,55,24,15,8,276,44,105,18,0.3804347826086957,0.02865612648221344,no,0,450,48,0.06426332288401254,0.05034437737938924
Mattias Janmark,8477406,Edmonton Oilers,2023,all,62,24,4,1,402,48,154,19,0.38308457711442784,0.012748756218905477,yes,1,450,48,-0.013257575757575801,-0.015907370263307963
Matty Beniers,8482665,Seattle Kraken,2023,all,80,57,14,7,90,14,66,7,0.7333333333333333,-0.23333333333333328,yes,1,104,14,NA,NA
Max Domi,8477503,Montréal Canadiens,2020,all,71,44,10,3,235,10,161,3,0.6851063829787234,-0.3851063829787234,yes,1,481,41,NA,NA
Max Domi,8477503,Carolina Hurricanes,2022,all,72,39,13,6,361,23,224,9,0.6204986149584487,-0.22919426713236174,yes,1,481,41,0.09130434782608698,0.15591211584636167
Max Domi,8477503,Dallas Stars,2023,all,79,56,18,13,440,41,280,22,0.6363636363636364,-0.09977827050997778,no,0,481,41,0.1452810180275716,0.12941599662238396
Max Pacioretty,8474157,Vegas Golden Knights,2019,all,66,40,7,11,130,7,77,11,0.5923076923076923,0.9791208791208791,no,0,285,36,NA,NA
Max Pacioretty,8474157,Vegas Golden Knights,2020,all,71,66,16,8,201,23,143,19,0.7114427860696517,0.11464417045208741,yes,1,285,36,-0.7453416149068323,-0.8644767086687917
Max Pacioretty,8474157,Vegas Golden Knights,2021,all,48,51,13,11,249,36,194,30,0.7791164658634538,0.054216867469879526,no,0,285,36,0.007246376811594235,-0.06042730298220789
Maxim Mamin,8479553,Florida Panthers,2022,all,39,14,4,0,72,4,18,0,0.25,-0.25,yes,1,76,4,NA,NA
Melker Karlsson,8477922,San Jose Sharks,2018,all,66,19,10,3,66,10,19,3,0.2878787878787879,0.012121212121212088,no,0,169,30,NA,NA
Melker Karlsson,8477922,San Jose Sharks,2019,all,73,16,20,2,139,30,35,5,0.2517985611510791,-0.08513189448441247,yes,1,169,30,-0.13333333333333333,-0.09725310660562456
Michael Amadio,8478020,Los Angeles Kings,2018,all,36,8,1,1,36,1,8,1,0.2222222222222222,0.7777777777777778,no,0,309,16,NA,NA
