season,team,gp,toi_gp_ev,w,l,otl,row,points,point_percent,cf_60_ev,ca_60_ev,cf_percent_ev,gf_60_ev,ga_60_ev,gf_percent_ev,x_gf_60_ev,x_ga_60_ev,x_gf_percent_ev,sh_percent_ev,sv_percent_ev,pdo_ev,toi_gp_pp,cf_60_pp,ca_60_pp,cf_percent_pp,gf_60_pp,ga_60_pp,gf_percent_pp,x_gf_60_pp,x_ga_60_pp,x_gf_percent_pp,sh_percent_pp,sv_percent_pp,pdo_pp,toi_gp_pk,cf_60_pk,ca_60_pk,cf_percent_pk,gf_60_pk,ga_60_pk,gf_percent_pk,x_gf_60_pk,x_ga_60_pk,x_gf_percent_pk,sh_percent_pk,sv_percent_pk,pdo_pk
2013,Tampa Bay Lightning,48,49:32:00,18,26,4,17,40,0.417,51.05,56.65,47.4,2.93,2.83,50.88,2.21,2.41,47.86,10.48,90.63,1.011,05:40:00,75.81,12.56,85.79,6.83,0.88,88.57,5.15,0.69,88.17,16.15,88.24,1.044,05:17:00,9.91,102.45,8.82,0,7.08,0,0.66,6.96,8.64,0,86.43,0.864
2013,Carolina Hurricanes,48,49:26:00,19,25,4,18,42,0.438,62.59,59.2,51.39,2.53,3.01,45.66,2.86,2.99,48.93,7.81,90.53,0.983,05:43:00,95.49,14.2,87.05,5.24,0.87,85.71,6.83,0.91,88.22,10.53,89.74,1.003,05:12:00,15.1,100.9,13.02,0.72,8.63,7.69,0.88,7.03,11.07,8.57,85.71,0.943
2013,Florida Panthers,48,50:27:00,15,27,6,12,36,0.375,52.75,54.95,48.98,1.83,3.22,36.27,2.09,2.51,45.46,6.38,89.62,0.96,04:56:00,83.1,10.36,88.92,7.33,0.25,96.67,6.12,0.86,87.74,14.22,96.43,1.106,05:19:00,11.74,91.78,11.34,0.94,9.15,9.3,0.94,6.87,11.98,11.76,82.35,0.941
2013,Detroit Red Wings,48,49:10:00,24,16,8,22,56,0.583,55.64,47.71,53.84,2.16,1.91,53.13,2.34,2.01,53.73,7.23,92.98,1.002,06:18:00,99.22,11.88,89.3,6.73,0.99,87.18,6.33,0.67,90.46,13.93,88.37,1.023,05:30:00,10.22,89.97,10.2,0.68,6.82,9.09,0.75,5.94,11.21,10.71,85.51,0.962
2013,St Louis Blues,48,50:23:00,29,17,2,24,60,0.625,51.32,47.85,51.75,2.26,2.13,51.41,1.99,2.02,49.62,8.25,91.21,0.995,05:07:00,101.25,11.95,89.44,7.08,1.22,85.29,6.38,0.94,87.18,14.08,82.76,0.968,05:18:00,9.64,82.33,10.49,0.71,5.41,11.54,0.66,4.62,12.51,11.54,85.06,0.966
2013,Columbus Blue Jackets,48,50:50:00,24,17,7,19,55,0.573,48.58,53.37,47.65,2.21,2.16,50.56,1.87,2.22,45.72,8.62,92.77,1.014,05:32:00,87.91,9.92,89.86,4.96,0.45,91.67,5.1,0.82,86.1,10.58,93.1,1.037,05:03:00,12.35,84.7,12.72,0.74,6.17,10.71,0.86,5.6,13.29,9.68,86.77,0.964
2013,Nashville Predators,48,51:20:00,16,23,9,14,41,0.427,46.96,53.29,46.84,2.02,2.26,47.16,2.06,2.13,49.26,7.93,91.76,0.997,04:55:00,83.6,8.64,90.63,6.1,1.02,85.71,5.97,0.5,92.28,13.11,76.47,0.896,04:45:00,6.3,92.93,6.35,0.26,8.93,2.86,0.41,5.92,6.43,7.69,81.82,0.895
2013,Phoenix Coyotes,48,49:56:00,21,18,9,17,51,0.531,57.83,56.7,50.49,2.35,2.23,51.37,2.41,2.44,49.66,7.58,92.67,1.002,05:46:00,89.33,11.03,89.01,5.41,0.43,92.59,5.57,0.74,88.3,12.14,93.1,1.052,05:38:00,12.4,96.57,11.38,0.44,7.53,5.56,0.64,6.49,9,5.56,84.82,0.904
2013,Dallas Stars,48,48:33:00,22,22,4,20,48,0.5,53.75,56.51,48.75,2.5,2.65,48.5,2.21,2.54,46.53,9.59,91.21,1.008,05:55:00,89.06,15.19,85.43,6.12,0.63,90.63,6.19,1.06,85.38,13.68,92.31,1.06,06:03:00,13.19,107.59,10.92,0.41,7.01,5.56,0.79,7.32,9.72,5.41,87.73,0.931
2013,Colorado Avalanche,48,49:45:00,16,25,7,14,39,0.406,55.08,57.72,48.83,2.26,2.79,44.78,2.25,2.47,47.67,7.54,90.8,0.983,04:54:00,84.27,13.24,86.42,5.35,0.76,87.5,5.84,0.82,87.71,11.54,90.32,1.019,06:22:00,11.57,104.51,9.97,0.59,7.06,7.69,0.66,7.58,8.06,7.69,86.72,0.944
